"origWdId","origName","esName","wpPage","startYear","endYear","teamName","teamWP","matchesPlayed","pointsScored"
"Q325033","Jannie du Plessis","Jannie du Plessis","Jannie_du_Plessis","2020","2022","Lions","Lions_(rugby)",NA,NA
"Q325033","Jannie du Plessis","Jannie du Plessis","Jannie_du_Plessis","2020","2022","Golden Lions","Golden_Lions",NA,NA
"Q335197","Bryan Habana","Bryan Habana","Bryan_Habana",NA,NA,"Sudáfrica","Selecci%C3%B3n_de_rugby_de_Sud%C3%A1frica","124","335"
"Q335197","Bryan Habana","Bryan Habana","Bryan_Habana","2005","2009","Bulls","Bulls_(rugby)",NA,NA
"Q335197","Bryan Habana","Bryan Habana","Bryan_Habana","2010","2013","Stormers","Stormers",NA,NA
"Q335197","Bryan Habana","Bryan Habana","Bryan_Habana","2013","2018","RC Toulon","Rugby_Club_Toulonnais",NA,NA
"Q338006","Jean-Baptiste Élissalde","Jean-Baptiste Élissalde","Jean-Baptiste_%C3%89lissalde",NA,NA,"Francia","Selecci%C3%B3n_de_rugby_de_Francia","35",NA
"Q338006","Jean-Baptiste Élissalde","Jean-Baptiste Élissalde","Jean-Baptiste_%C3%89lissalde","1997","2002","Stade Rochelais","Stade_Rochelais",NA,NA
"Q338006","Jean-Baptiste Élissalde","Jean-Baptiste Élissalde","Jean-Baptiste_%C3%89lissalde","2002","2011","Stade Toulousain","Stade_Toulousain",NA,NA
"Q348867","Ian Kirkpatrick","Ian Kirkpatrick","Ian_Kirkpatrick","1967",NA,"Nueva Zelanda","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","39","57"
"Q348867","Ian Kirkpatrick","Ian Kirkpatrick","Ian_Kirkpatrick","1966","1979","Poverty Bay Rugby","Poverty_Bay_Rugby",NA,NA
"Q348867","Ian Kirkpatrick","Ian Kirkpatrick","Ian_Kirkpatrick","1967","1969","Canterbury","Canterbury_(rugby)",NA,NA
"Q350686","Adam Rhys Jones","Adam Jones","Adam_Rhys_Jones",NA,NA,"Gales","Selecci%C3%B3n_de_rugby_de_Gales","95","10"
"Q350686","Adam Rhys Jones","Adam Jones","Adam_Rhys_Jones","1998","2003","Neath RFC",NA,NA,NA
"Q350686","Adam Rhys Jones","Adam Jones","Adam_Rhys_Jones","2003","2014","Ospreys Rugby","Ospreys",NA,NA
"Q350686","Adam Rhys Jones","Adam Jones","Adam_Rhys_Jones","2014","2015","Cardiff Blues","Cardiff_Rugby",NA,NA
"Q350686","Adam Rhys Jones","Adam Jones","Adam_Rhys_Jones","2015","2018","Harlequins FC","Harlequins_FC",NA,NA
"Q350967","Luke McAlister","Luke McAlister","Luke_McAlister",NA,NA,"Nueva Zelanda","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","30",NA
"Q350967","Luke McAlister","Luke McAlister","Luke_McAlister","2002","2010","North Harbour RU","North_Harbour_(rugby)",NA,NA
