"rugbyscopeId","altNames","teamWP","fusionName"
145,"rk 03; RK 03 Berlin","RK_03_Berlin","RK 03 Berlin"
146,"drc hannover; drc; DRC Hannover","DRC_Hannover","DRC Hannover"
147,"heidelberger tv; htv","Heidelberger_TV","Heidelberger TV"
148,"dsv 78 hannover; dsv 78; DSV 78 Hannover","DSV_78_Hannover","DSV 78 Hannover"
149,"sc neuenheim; scn; SC Neuenheim","SC_Neuenheim","SC Neuenheim"
150,"swansea rfc; swansea RFC; Swansea RFC; Swansea F.C.","Swansea_RFC","Swansea RFC"
150,"Swansea RFC",NA,"Swansea RFC"
151,"cardiff rfc; Cardiff rfc; cardiff RFC; Cardiff RFC","Cardiff_RFC","Cardiff RFC"
152,"biarritz; biarritz olympique; Biarritz Olympique; Biarritz","Biarritz_Olympique","Biarritz Olympique"
153,"tsv victoria linden; TSV victoria; TSV Victoria Linden","TSV_Victoria_Linden","TSV Victoria Linden"
154,"rgh; rg heidelberg; heidelberg; RG Heidelberg","RG_Heidelberg","Rudergesellschaft Heidelberg 1898"
155,"blagnac; blagnac scr; Blagnac","Blagnac_Rugby","Blagnac SCR"
156,"blue bulls xv; blue bulls; bulls; northern transvaal; transvaal; naka bulls; northern bulls; Blue Bulls; Blue Bulls U21","Bulls_(rugby_union)","Bulls"
156,"Blue Bulls A",NA,"Bulls"
157,"border reivers; borders reivers; borders; scottish borders; the borders","Border_Reivers_(rugby_union)","Border Reivers"
157,"scottish borders",NA,"Border Reivers"
157,"scottish border xv",NA,"Border Reivers"
157,"scottish borderers",NA,"Border Reivers"
157,"borders xv",NA,"Border Reivers"
158,"boroughmuir bears; boroughmuir rfc; boroughmuir; Boroughmuir; Boroughmuir RFC","Boroughmuir_RFC","Boroughmuir RFC"
158,"Boroughmuir RFC",NA,"Boroughmuir RFC"
159,"bradford; bradford fc; bradford f.c.","Bradford_(Park_Avenue)_A.F.C.","Bradford Park Avenue A.F.C."
159,"bradford rfc",NA,"Bradford Park Avenue A.F.C."
160,"newcastle falcons; newcastle; Newcastle Falcons; newcastle gosforth; newcastle falcons academy; newcastle red bulls; newcastle falcons; newcastle academy; Newcastle Red Bulls","Newcastle_Red_Bulls","Newcastle Red Bulls"
160,"newcastle rufc",NA,"Newcastle Red Bulls"
161,"force; western force; Western Force; Force","Western_Force","Western Force"
162,"bristol rugby; bristol bears; bristol; bristol shoguns; bristol rfc; Bristol Bears; Bristol Rugby; Bristol; Bristol RFC","Bristol_Bears","Bristol Bears"
163,"england u20s; england u20; england under 20s; england under-20; england under 20; england u-20","England_national_under-20_rugby_union_team","England national under-20 rugby union team"
163,"england colts",NA,"England national under-20 rugby union team"
163,"England Colts",NA,"England national under-20 rugby union team"
164,"sale sharks; Sale Sharks; sale rfc; Sale Jets","Sale_Sharks","Sale Sharks"
165,"hawick rfc; Hawick RFC","Hawick_RFC","Hawick RFC"
165,"hawick",NA,"Hawick RFC"
165,"Hawick RFC",NA,"Hawick RFC"
166,"enisey-stm; yenisey-stm; enisei-stm; yenisey krasnoyarsk; yenisey-stm krasnoyarsk","Yenisey-STM_Krasnoyarsk","Yenisey-STM Krasnoyarsk"
166,"Enisey-STM",NA,"Yenisey-STM Krasnoyarsk"
167,"hong kong; hong kong china; hong kong china xv; hong kong rugby union","Hong_Kong_national_rugby_union_team","Hong Kong national rugby union team"
168,"maesteg rfc; maesteg; Maesteg RFC","Maesteg_RFC","Maesteg RFC"
